BSHD,2012/08/28 18:50:25,0001,0116.0003,15840  
Pilot Sector Name,SID,NID,Extend BID,T-PN,Antenna Lati,Antenna Longi,Antenna Alti,Antenna Loc Accu,Sector Center Lati,Sector Center Longi,Sector Center Alti,Antenna Orientation,Antenna Opening,Max Antenna Range,Terrain Average Height,Terrain Height Standard Deviation,Potential Repeater,PN Increment,FWD Calib,FWD Calib Accu,RTD Calib,RTD Calib Accu,FormatType,SwitchNum
NJC1-0-242-gulouxingzhenglou_BBU_10_C,14174,10,13172752,501,32.052500,118.778333,10,300,32.052500,118.778333,5,0,360,800,7,2,0,1,15.00,39,1.00,524,1,-1
NJC1-0-242-gulouxingzhenglou_BBU_10_C,14174,10,15859728,501,32.052500,118.778333,10,300,32.052500,118.778333,5,0,360,800,7,2,0,1,15.00,39,1.00,524,1,-1
NJC1-0-242-gulouxingzhenglou_BBU_10_C,14174,10,18546704,501,32.052500,118.778333,10,300,32.052500,118.778333,5,0,360,800,7,2,0,1,15.00,39,1.00,524,1,-1
NJC1-1-242-gulouxingzhenglou_BBU_10_C,14174,10,13172753,149,32.055833,118.782222,11,300,32.055833,118.782222,6,0,360,800,7,2,0,1,15.00,39,1.00,524,1,-1
NJC1-1-242-gulouxingzhenglou_BBU_10_C,14174,10,15859729,149,32.055833,118.782222,11,300,32.055833,118.782222,6,0,360,800,7,2,0,1,15.00,39,1.00,524,1,-1
NJC1-1-242-gulouxingzhenglou_BBU_10_C,14174,10,18546705,149,32.055833,118.782222,11,300,32.055833,118.782222,6,0,360,800,7,2,0,1,15.00,39,1.00,524,1,-1
NJC1757-2-283-gulouxingzhenglou_BBU_10,14174,10,13172754,489,32.050972,118.790069,5,300,32.050972,118.790069,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1757-2-283-gulouxingzhenglou_BBU_10,14174,10,15859730,489,32.050972,118.790069,5,300,32.050972,118.790069,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1757-2-283-gulouxingzhenglou_BBU_10,14174,10,18546706,489,32.050972,118.790069,5,300,32.050972,118.790069,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1757-3-283-gulouxingzhenglou_BBU_10,14174,10,13172755,144,32.045000,118.788889,5,300,32.045000,118.788889,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1757-3-283-gulouxingzhenglou_BBU_10,14174,10,15859731,144,32.045000,118.788889,5,300,32.045000,118.788889,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1757-3-283-gulouxingzhenglou_BBU_10,14174,10,18546707,144,32.045000,118.788889,5,300,32.045000,118.788889,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC1-4-160-gulouxingzhenglou_BBU_10_C,14174,10,10485780,3,32.051667,118.778889,17,300,32.048564,118.775817,7,220,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC1-4-160-gulouxingzhenglou_BBU_10_C,14174,10,13172756,3,32.051667,118.778889,17,300,32.048564,118.775817,7,220,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC1-4-160-gulouxingzhenglou_BBU_10_C,14174,10,15859732,3,32.051667,118.778889,17,300,32.048564,118.775817,7,220,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC1-4-160-gulouxingzhenglou_BBU_10_C,14174,10,18546708,3,32.051667,118.778889,17,300,32.048564,118.775817,7,220,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC3-1-160-gulouxingzhenglou_BBU_11,14174,10,10485809,294,32.053889,118.781389,25,300,32.051864,118.785528,4,120,120,1500,5,1,0,1,15.00,39,1.00,524,1,-1
NJC3-1-160-gulouxingzhenglou_BBU_11,14174,10,13172785,294,32.053889,118.781389,25,300,32.051864,118.785528,4,120,120,1500,5,1,0,1,15.00,39,1.00,524,1,-1
NJC3-1-160-gulouxingzhenglou_BBU_11,14174,10,15859761,294,32.053889,118.781389,25,300,32.051864,118.785528,4,120,120,1500,5,1,0,1,15.00,39,1.00,524,1,-1
NJC3-1-160-gulouxingzhenglou_BBU_11,14174,10,18546737,294,32.053889,118.781389,25,300,32.051864,118.785528,4,120,120,1500,5,1,0,1,15.00,39,1.00,524,1,-1
NJC3-2-160-gulouxingzhenglou_BBU_11,14174,10,10485810,462,32.053889,118.781389,25,300,32.051864,118.777250,6,240,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC3-2-160-gulouxingzhenglou_BBU_11,14174,10,13172786,462,32.053889,118.781389,25,300,32.051864,118.777250,6,240,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC3-2-160-gulouxingzhenglou_BBU_11,14174,10,15859762,462,32.053889,118.781389,25,300,32.051864,118.777250,6,240,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC3-2-160-gulouxingzhenglou_BBU_11,14174,10,18546738,462,32.053889,118.781389,25,300,32.051864,118.777250,6,240,120,1500,7,3,0,1,15.00,39,1.00,524,1,-1
NJC3-3-242-gulouxingzhenglou_BBU_11_B,14174,10,13172787,150,32.052222,118.774444,20,300,32.052222,118.774444,9,0,360,800,8,2,0,1,15.00,39,1.00,524,1,-1
NJC3-3-242-gulouxingzhenglou_BBU_11_B,14174,10,15859763,150,32.052222,118.774444,20,300,32.052222,118.774444,9,0,360,800,8,2,0,1,15.00,39,1.00,524,1,-1
NJC3-3-242-gulouxingzhenglou_BBU_11_B,14174,10,18546739,150,32.052222,118.774444,20,300,32.052222,118.774444,9,0,360,800,8,2,0,1,15.00,39,1.00,524,1,-1
NJC3-4-242-gulouxingzhenglou_BBU_11_B,14174,10,13172788,164,32.052222,118.774444,20,300,32.052222,118.774444,9,0,360,800,8,2,0,1,15.00,39,1.00,524,1,-1
NJC3-4-242-gulouxingzhenglou_BBU_11_B,14174,10,15859764,164,32.052222,118.774444,20,300,32.052222,118.774444,9,0,360,800,8,2,0,1,15.00,39,1.00,524,1,-1
NJC3-4-242-gulouxingzhenglou_BBU_11_B,14174,10,18546740,164,32.052222,118.774444,20,300,32.052222,118.774444,9,0,360,800,8,2,0,1,15.00,39,1.00,524,1,-1
NJC4-0-283-youfuxijie_BBU_9,14174,10,13172800,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-0-283-youfuxijie_BBU_9,14174,10,15859776,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-0-283-youfuxijie_BBU_9,14174,10,18546752,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-0-283-youfuxijie_BBU_9,14174,10,66388032,168,32.041042,118.789514,5,300,32.041042,118.789514,3,0,360,800,3,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,13172801,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,15859777,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,18546753,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-1-242-youfuxijie_BBU_9_C,14174,10,66388033,482,32.046944,118.780833,6,300,32.046944,118.780833,5,0,360,800,5,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,13172802,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,15859778,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,18546754,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-2-242-youfuxijie_BBU_9_C,14174,10,66388034,331,32.044722,118.785833,5,300,32.044722,118.785833,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-3-283-youfuxijie_BBU_9,14174,10,13172803,126,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-3-283-youfuxijie_BBU_9,14174,10,15859779,126,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-3-283-youfuxijie_BBU_9,14174,10,18546755,126,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
NJC4-4-283-youfuxijie_BBU_9,14174,10,13172804,335,32.043125,118.792222,5,300,32.043125,118.792222,4,0,360,800,4,1,0,1,15.00,39,1.00,524,1,-1
